  -19.4360409      0.470040113       1.65080285       1.00000000    
  -19.4320412      0.476666063       1.66216934       1.00000000    
  -19.4280415      0.483337462       1.67353106       1.00000000    
  -19.4240417      0.490054309       1.68488801       1.00000000    
  -19.4200420      0.496816576       1.69624019       1.00000000    
  -19.4160423      0.503624260       1.70758772       1.00000000    
  -19.4120426      0.510477304       1.71893048       1.00000000    
  -19.4080429      0.517375708       1.73026848       1.00000000    
  -19.4040432      0.524319470       1.74160171       1.00000000    
  -19.4000435      0.531308532       1.75293016       1.00000000    
  -19.3960438      0.538342893       1.76425385       1.00000000    
  -19.3920441      0.545422554       1.77557278       1.00000000    
  -19.3880444      0.552547455       1.78688693       1.00000000    
  -19.3840446      0.559717596       1.79819643       1.00000000    
  -19.3800449      0.566932976       1.80950117       1.00000000    
  -19.3760452      0.574193597       1.82080114       1.00000000    
  -19.3720455      0.581499398       1.83209634       1.00000000    
  -19.3680458      0.588850379       1.84338677       1.00000000    
  -19.3640461      0.596246481       1.85467243       1.00000000    
  -19.3600464      0.603687763       1.86595345       1.00000000    
  -19.3560467      0.611174107       1.87722969       1.00000000    
  -19.3520470      0.618705571       1.88850117       1.00000000    
  -19.3480473      0.626282096       1.89976788       1.00000000    
  -19.3440475      0.633903682       1.91102993       1.00000000    
  -19.3400478      0.641570330       1.92228723       1.00000000    
  -19.3360481      0.649281979       1.93353975       1.00000000    
  -19.3320484      0.657038629       1.94478750       1.00000000    
  -19.3280487      0.664840281       1.95603061       1.00000000    
  -19.3240490      0.672686875       1.96726894       1.00000000    
  -19.3200493      0.680578411       1.97850251       1.00000000    
  -19.3160496      0.688514888       1.98973131       1.00000000    
  -19.3120499      0.696496248       2.00095534       1.00000000    
  -19.3080502      0.704522491       2.01217484       1.00000000    
  -19.3040504      0.712593615       2.02338958       1.00000000    
  -19.3000507      0.720709622       2.03459954       1.00000000    
  -19.2960510      0.728870451       2.04580474       1.00000000    
  -19.2920513      0.737076044       2.05700517       1.00000000    
  -19.2880516      0.745326459       2.06820083       1.00000000    
  -19.2840519      0.753621638       2.07939196       1.00000000    
  -19.2800522      0.761961579       2.09057832       1.00000000    
  -19.2760525      0.770346284       2.10175991       1.00000000    
  -19.2720528      0.778775692       2.11293674       1.00000000    
  -19.2680531      0.787249804       2.12410879       1.00000000    
  -19.2640533      0.795768559       2.13527632       1.00000000    
  -19.2600536      0.804332018       2.14643908       1.00000000    
  -19.2560539      0.812940121       2.15759706       1.00000000    
  -19.2520542      0.821592808       2.16875029       1.00000000    
  -19.2480545      0.830290079       2.17989874       1.00000000    
  -19.2440548      0.839031935       2.19104266       1.00000000    
  -19.2400551      0.847818375       2.20218182       1.00000000    
  -19.2360554      0.856649399       2.21331620       1.00000000    
  -19.2320557      0.865524948       2.22444582       1.00000000    
  -19.2280560      0.874444962       2.23557091       1.00000000    
  -19.2240562      0.883409500       2.24669123       1.00000000    
  -19.2200565      0.892418504       2.25780678       1.00000000    
  -19.2160568      0.901471972       2.26891756       1.00000000    
  -19.2120571      0.910569847       2.28002381       1.00000000    
  -19.2080574      0.919712126       2.29112530       1.00000000    
  -19.2040577      0.928898811       2.30222201       1.00000000    
  -19.2000580      0.938129902       2.31331396       1.00000000    
  -19.1960583      0.947405338       2.32440138       1.00000000    
  -19.1920586      0.956725121       2.33548403       1.00000000    
  -19.1880589      0.966089189       2.34656191       1.00000000    
  -19.1840591      0.975497603       2.35763502       1.00000000    
  -19.1800594      0.984950304       2.36870360       1.00000000    
  -19.1760597      0.994447231       2.37976742       1.00000000    
  -19.1720600       1.00398839       2.39082646       1.00000000    
  -19.1680603       1.01357377       2.40188098       1.00000000    
  -19.1640606       1.02320337       2.41293073       1.00000000    
  -19.1600609       1.03287721       2.42397571       1.00000000    
  -19.1560612       1.04259515       2.43501616       1.00000000    
  -19.1520615       1.05235732       2.44605184       1.00000000    
  -19.1480618       1.06216359       2.45708275       1.00000000    
  -19.1440620       1.07201397       2.46810889       1.00000000    
  -19.1400623       1.08190846       2.47913051       1.00000000    
  -19.1360626       1.09184706       2.49014735       1.00000000    
  -19.1320629       1.10182965       2.50115943       1.00000000    
  -19.1280632       1.11185634       2.51216698       1.00000000    
  -19.1240635       1.12192702       2.52316976       1.00000000    
  -19.1200638       1.13204169       2.53416800       1.00000000    
  -19.1160641       1.14220035       2.54516149       1.00000000    
  -19.1120644       1.15240300       2.55615020       1.00000000    
  -19.1080647       1.16264951       2.56713438       1.00000000    
  -19.1040649       1.17294002       2.57811379       1.00000000    
  -19.1000652       1.18327439       2.58908844       1.00000000    
  -19.0960655       1.19365263       2.60005856       1.00000000    
  -19.0920658       1.20407474       2.61102390       1.00000000    
  -19.0880661       1.21454072       2.62198448       1.00000000    
  -19.0840664       1.22505057       2.63294053       1.00000000    
  -19.0800667       1.23560429       2.64389181       1.00000000    
  -19.0760670       1.24620175       2.65483856       1.00000000    
  -19.0720673       1.25684297       2.66578054       1.00000000    
  -19.0680676       1.26752794       2.67671776       1.00000000    
  -19.0640678       1.27825665       2.68765044       1.00000000    
  -19.0600681       1.28902912       2.69857836       1.00000000    
  -19.0560684       1.29984534       2.70950174       1.00000000    
  -19.0520687       1.31070518       2.72042036       1.00000000    
  -19.0480690       1.32160866       2.73133445       1.00000000    
  -19.0440693       1.33255577       2.74224377       1.00000000    
  -19.0400696       1.34354651       2.75314832       1.00000000    
  -19.0360699       1.35458088       2.76404834       1.00000000    
  -19.0320702       1.36565888       2.77494359       1.00000000    
  -19.0280704       1.37678039       2.78583431       1.00000000    
  -19.0240707       1.38794553       2.79672027       1.00000000    
  -19.0200710       1.39915419       2.80760169       1.00000000    
  -19.0160713       1.41040635       2.81847835       1.00000000    
  -19.0120716       1.42170203       2.82935047       1.00000000    
  -19.0080719       1.43304121       2.84021783       1.00000000    
  -19.0040722       1.44442379       2.85108042       1.00000000    
  -19.0000725       1.45584989       2.86193848       1.00000000    
  -18.9960728       1.46731937       2.87279177       1.00000000    
  -18.9920731       1.47883224       2.88364053       1.00000000    
  -18.9880733       1.49038851       2.89448452       1.00000000    
  -18.9840736       1.50198817       2.90532398       1.00000000    
  -18.9800739       1.51363111       2.91615868       1.00000000    
  -18.9760742       1.52531743       2.92698884       1.00000000    
  -18.9720745       1.53704703       2.93781424       1.00000000    
  -18.9680748       1.54881990       2.94863510       1.00000000    
  -18.9640751       1.56063604       2.95945120       1.00000000    
  -18.9600754       1.57249546       2.97026277       1.00000000    
  -18.9560757       1.58439815       2.98106956       1.00000000    
  -18.9520760       1.59634399       2.99187183       1.00000000    
  -18.9480762       1.60833311       3.00266933       1.00000000    
  -18.9440765       1.62036538       3.01346231       1.00000000    
  -18.9400768       1.63244081       3.02425051       1.00000000    
  -18.9360771       1.64455938       3.03503418       1.00000000    
  -18.9320774       1.65672112       3.04581332       1.00000000    
  -18.9280777       1.66892588       3.05658770       1.00000000    
  -18.9240780       1.68117380       3.06735754       1.00000000    
  -18.9200783       1.69346476       3.07812262       1.00000000    
  -18.9160786       1.70579875       3.08888316       1.00000000    
  -18.9120789       1.71817577       3.09963894       1.00000000    
  -18.9080791       1.73059583       3.11039019       1.00000000    
  -18.9040794       1.74305892       3.12113667       1.00000000    
  -18.9000797       1.75556493       3.13187861       1.00000000    
  -18.8960800       1.76811397       3.14261603       1.00000000    
  -18.8920803       1.78070593       3.15334868       1.00000000    
  -18.8880806       1.79334080       3.16407681       1.00000000    
  -18.8840809       1.80601859       3.17480016       1.00000000    
  -18.8800812       1.81873918       3.18551898       1.00000000    
  -18.8760815       1.83150268       3.19623327       1.00000000    
  -18.8720818       1.84430897       3.20694280       1.00000000    
  -18.8680820       1.85715818       3.21764779       1.00000000    
  -18.8640823       1.87005019       3.22834802       1.00000000    
  -18.8600826       1.88298500       3.23904371       1.00000000    
